fixed_acidity,volatile_acidity,citric_acid,residual_sugar,free_sulfur_dioxide,total_sulfur_dioxide,ph,class
7.3,0.39,0.31,2.4,9.0,46.0,3.41,1
8.8,0.4,0.4,2.2,19.0,52.0,3.44,1
7.7,0.69,0.49,1.8,20.0,112.0,3.21,1
7.5,0.52,0.16,1.9,12.0,35.0,3.38,1
7.0,0.735,0.05,2.0,13.0,54.0,3.39,1
7.2,0.725,0.05,4.65,4.0,11.0,3.41,1
7.2,0.725,0.05,4.65,4.0,11.0,3.41,1
7.5,0.52,0.11,1.5,11.0,39.0,3.42,1
6.6,0.705,0.07,1.6,6.0,15.0,3.44,1
9.3,0.32,0.57,2.0,27.0,65.0,3.28,1
8.0,0.705,0.05,1.9,8.0,19.0,3.34,1
7.7,0.63,0.08,1.9,15.0,27.0,3.32,1
7.7,0.67,0.23,2.1,17.0,96.0,3.32,1
7.7,0.69,0.22,1.9,18.0,94.0,3.31,1
8.3,0.675,0.26,2.1,11.0,43.0,3.31,1
9.7,0.32,0.54,2.5,28.0,83.0,3.28,1
8.8,0.41,0.64,2.2,9.0,42.0,3.54,1
8.8,0.41,0.64,2.2,9.0,42.0,3.54,1
6.8,0.785,0.0,2.4,14.0,30.0,3.52,1
6.7,0.75,0.12,2.0,12.0,80.0,3.38,1
8.3,0.625,0.2,1.5,27.0,119.0,3.16,1
6.2,0.45,0.2,1.6,3.0,15.0,3.41,1
7.8,0.43,0.7,1.9,22.0,67.0,3.13,1
7.4,0.5,0.47,2.0,21.0,73.0,3.36,1
7.3,0.67,0.26,1.8,16.0,51.0,3.16,1
6.3,0.3,0.48,1.8,18.0,61.0,3.44,1
6.9,0.55,0.15,2.2,19.0,40.0,3.41,1
8.6,0.49,0.28,1.9,20.0,136.0,2.93,1
7.7,0.49,0.26,1.9,9.0,31.0,3.39,1
9.3,0.39,0.44,2.1,34.0,125.0,3.14,1
7.0,0.62,0.08,1.8,8.0,24.0,3.48,1
7.9,0.52,0.26,1.9,42.0,140.0,3.23,1
8.6,0.49,0.28,1.9,20.0,136.0,2.93,1
8.6,0.49,0.29,2.0,19.0,133.0,2.93,1
7.7,0.49,0.26,1.9,9.0,31.0,3.39,1
5.0,1.02,0.04,1.4,41.0,85.0,3.75,1
4.7,0.6,0.17,2.3,17.0,106.0,3.85,1
6.8,0.775,0.0,3.0,8.0,23.0,3.45,1
7.0,0.5,0.25,2.0,3.0,22.0,3.25,1
7.6,0.9,0.06,2.5,5.0,10.0,3.39,1
8.1,0.545,0.18,1.9,13.0,35.0,3.3,1
8.3,0.61,0.3,2.1,11.0,50.0,3.4,1
7.8,0.5,0.3,1.9,8.0,22.0,3.31,1
8.1,0.545,0.18,1.9,13.0,35.0,3.3,1
8.1,0.575,0.22,2.1,12.0,65.0,3.29,1
7.2,0.49,0.24,2.2,5.0,36.0,3.33,1
8.1,0.575,0.22,2.1,12.0,65.0,3.29,1
7.8,0.41,0.68,1.7,18.0,69.0,3.08,1
6.2,0.63,0.31,1.7,15.0,64.0,3.46,1
8.0,0.33,0.53,2.5,18.0,80.0,3.37,1
8.1,0.785,0.52,2.0,37.0,153.0,3.21,1
7.8,0.56,0.19,1.8,12.0,47.0,3.19,1
8.4,0.62,0.09,2.2,11.0,108.0,3.15,1
8.4,0.6,0.1,2.2,14.0,111.0,3.15,1
10.1,0.31,0.44,2.3,22.0,46.0,3.32,1
7.8,0.56,0.19,1.8,12.0,47.0,3.19,1
9.4,0.4,0.31,2.2,13.0,62.0,3.07,1
8.3,0.54,0.28,1.9,11.0,40.0,3.39,1
7.8,0.56,0.12,2.0,7.0,28.0,3.37,1
8.8,0.55,0.04,2.2,14.0,56.0,3.21,1
7.0,0.69,0.08,1.8,22.0,89.0,3.34,1
7.3,1.07,0.09,1.7,10.0,89.0,3.3,1
8.8,0.55,0.04,2.2,14.0,56.0,3.21,1
7.3,0.695,0.0,2.5,3.0,13.0,3.49,1
8.0,0.71,0.0,2.6,11.0,34.0,3.44,1
7.8,0.5,0.17,1.6,21.0,102.0,3.39,1
9.0,0.62,0.04,1.9,27.0,90.0,3.16,1
8.2,1.33,0.0,1.7,3.0,12.0,3.53,1
8.1,1.33,0.0,1.8,3.0,12.0,3.54,1
8.0,0.59,0.16,1.8,3.0,16.0,3.42,1
6.1,0.38,0.15,1.8,6.0,19.0,3.42,1
8.0,0.745,0.56,2.0,30.0,134.0,3.24,1
5.6,0.5,0.09,2.3,17.0,99.0,3.63,1
5.6,0.5,0.09,2.3,17.0,99.0,3.63,1
6.6,0.5,0.01,1.5,17.0,26.0,3.4,1
7.9,1.04,0.05,2.2,13.0,29.0,3.22,1
8.4,0.745,0.11,1.9,16.0,63.0,3.19,1
8.3,0.715,0.15,1.8,10.0,52.0,3.23,1
7.2,0.415,0.36,2.0,13.0,45.0,3.48,1
7.8,0.56,0.19,2.1,15.0,105.0,3.33,1
7.8,0.56,0.19,2.0,17.0,108.0,3.32,1
8.4,0.745,0.11,1.9,16.0,63.0,3.19,1
8.3,0.715,0.15,1.8,10.0,52.0,3.23,1
5.2,0.34,0.0,1.8,27.0,63.0,3.68,1
6.3,0.39,0.08,1.7,3.0,20.0,3.34,1
5.2,0.34,0.0,1.8,27.0,63.0,3.68,1
8.1,0.67,0.55,1.8,32.0,141.0,3.17,1
5.8,0.68,0.02,1.8,21.0,94.0,3.54,1
7.6,0.49,0.26,1.6,10.0,88.0,3.11,1
6.9,0.49,0.1,2.3,12.0,30.0,3.42,1
8.2,0.4,0.44,2.8,11.0,43.0,3.53,1
7.3,0.33,0.47,2.1,5.0,11.0,3.33,1
9.2,0.52,1.0,3.4,32.0,69.0,2.74,1
7.5,0.6,0.03,1.8,25.0,99.0,3.35,1
7.5,0.6,0.03,1.8,25.0,99.0,3.35,1
7.1,0.43,0.42,5.5,29.0,129.0,3.42,1
7.1,0.43,0.42,5.5,28.0,128.0,3.42,1
7.1,0.43,0.42,5.5,29.0,129.0,3.42,1
7.1,0.43,0.42,5.5,28.0,128.0,3.42,1
7.1,0.68,0.0,2.2,12.0,22.0,3.48,1
6.8,0.6,0.18,1.9,18.0,86.0,3.59,1
7.6,0.95,0.03,2.0,7.0,20.0,3.2,1
7.6,0.68,0.02,1.3,9.0,20.0,3.17,1
7.8,0.53,0.04,1.7,17.0,31.0,3.33,1
7.4,0.6,0.26,7.3,36.0,121.0,3.37,1
7.3,0.59,0.26,7.2,35.0,121.0,3.37,1
7.8,0.63,0.48,1.7,14.0,96.0,3.19,1
6.8,0.64,0.1,2.1,18.0,101.0,3.34,1
7.3,0.55,0.03,1.6,17.0,42.0,3.37,1
6.8,0.63,0.07,2.1,11.0,44.0,3.47,1
7.5,0.705,0.24,1.8,15.0,63.0,3.0,1
7.9,0.885,0.03,1.8,4.0,8.0,3.36,1
8.0,0.42,0.17,2.0,6.0,18.0,3.29,1
8.0,0.42,0.17,2.0,6.0,18.0,3.29,1
7.4,0.62,0.05,1.9,24.0,42.0,3.42,1
7.3,0.38,0.21,2.0,7.0,35.0,3.33,1
6.9,0.5,0.04,1.5,19.0,49.0,3.35,1
7.3,0.38,0.21,2.0,7.0,35.0,3.33,1
7.5,0.52,0.42,2.3,8.0,38.0,3.58,1
7.0,0.805,0.0,2.5,7.0,20.0,3.48,1
8.8,0.61,0.14,2.4,10.0,42.0,3.19,1
8.8,0.61,0.14,2.4,10.0,42.0,3.19,1
8.9,0.61,0.49,2.0,23.0,110.0,3.12,1
7.2,0.73,0.02,2.5,16.0,42.0,3.44,1
6.8,0.61,0.2,1.8,11.0,65.0,3.54,1
6.7,0.62,0.21,1.9,8.0,62.0,3.52,1
8.9,0.31,0.57,2.0,26.0,85.0,3.26,1
7.4,0.39,0.48,2.0,14.0,67.0,3.34,1
7.7,0.705,0.1,2.6,9.0,26.0,3.39,1
7.9,0.5,0.33,2.0,15.0,143.0,3.2,1
7.9,0.49,0.32,1.9,17.0,144.0,3.2,1
8.2,0.5,0.35,2.9,21.0,127.0,3.23,1
6.4,0.37,0.25,1.9,21.0,49.0,3.57,1
6.8,0.63,0.12,3.8,16.0,126.0,3.28,1
7.6,0.55,0.21,2.2,7.0,28.0,3.28,1
7.6,0.55,0.21,2.2,7.0,28.0,3.28,1
7.8,0.59,0.33,2.0,24.0,120.0,3.25,1
7.3,0.58,0.3,2.4,15.0,55.0,3.46,1
11.5,0.3,0.6,2.0,12.0,27.0,3.11,1
5.4,0.835,0.08,1.2,13.0,93.0,3.57,1
6.9,1.09,0.06,2.1,12.0,31.0,3.51,1
9.6,0.32,0.47,1.4,9.0,24.0,3.22,1
8.8,0.37,0.48,2.1,39.0,145.0,3.04,1
6.8,0.5,0.11,1.5,16.0,49.0,3.36,1
7.0,0.42,0.35,1.6,16.0,39.0,3.34,1
7.0,0.43,0.36,1.6,14.0,37.0,3.34,1
12.8,0.3,0.74,2.6,9.0,28.0,3.2,1
12.8,0.3,0.74,2.6,9.0,28.0,3.2,1
7.8,0.57,0.31,1.8,26.0,120.0,3.29,1
7.8,0.44,0.28,2.7,18.0,95.0,3.22,1
11.0,0.3,0.58,2.1,7.0,19.0,3.31,1
9.7,0.53,0.6,2.0,5.0,19.0,3.3,1
8.0,0.725,0.24,2.8,10.0,62.0,3.35,1
11.6,0.44,0.64,2.1,5.0,15.0,3.21,1
8.2,0.57,0.26,2.2,28.0,65.0,3.3,1
7.8,0.735,0.08,2.4,10.0,41.0,3.24,1
7.0,0.49,0.49,5.6,26.0,121.0,3.34,1
8.7,0.625,0.16,2.0,13.0,49.0,3.14,1
8.1,0.725,0.22,2.2,11.0,41.0,3.36,1
7.5,0.49,0.19,1.9,10.0,44.0,3.39,1
7.8,0.53,0.33,2.4,24.0,144.0,3.3,1
7.8,0.34,0.37,2.0,24.0,58.0,3.34,1
7.4,0.53,0.26,2.0,16.0,72.0,3.15,1
6.8,0.61,0.04,1.5,5.0,10.0,3.42,1
8.6,0.645,0.25,2.0,8.0,28.0,3.28,1
8.4,0.635,0.36,2.0,15.0,55.0,3.31,1
7.7,0.43,0.25,2.6,29.0,63.0,3.37,1
8.9,0.59,0.5,2.0,27.0,81.0,3.04,1
9.0,0.82,0.14,2.6,9.0,23.0,3.39,1
7.7,0.43,0.25,2.6,29.0,63.0,3.37,1
6.9,0.52,0.25,2.6,10.0,37.0,3.46,1
5.2,0.48,0.04,1.6,19.0,106.0,3.54,1
8.0,0.38,0.06,1.8,12.0,49.0,3.37,1
8.5,0.37,0.2,2.8,18.0,58.0,3.34,1
6.9,0.52,0.25,2.6,10.0,37.0,3.46,1
8.2,1.0,0.09,2.3,7.0,37.0,3.32,1
7.2,0.63,0.0,1.9,14.0,38.0,3.37,1
7.2,0.63,0.0,1.9,14.0,38.0,3.37,1
7.2,0.645,0.0,1.9,15.0,39.0,3.37,1
7.2,0.63,0.0,1.9,14.0,38.0,3.37,1
8.2,1.0,0.09,2.3,7.0,37.0,3.32,1
8.9,0.635,0.37,1.7,5.0,62.0,3.0,1
12.0,0.38,0.56,2.1,6.0,24.0,3.14,1
7.7,0.58,0.1,1.8,28.0,109.0,3.08,1
15.0,0.21,0.44,2.2,10.0,24.0,3.07,1
15.0,0.21,0.44,2.2,10.0,24.0,3.07,1
7.3,0.66,0.0,2.0,6.0,23.0,3.61,1
7.1,0.68,0.07,1.9,16.0,51.0,3.38,1
8.2,0.6,0.17,2.3,11.0,73.0,3.2,1
7.7,0.53,0.06,1.7,9.0,39.0,3.35,1
7.3,0.66,0.0,2.0,6.0,23.0,3.61,1
10.8,0.32,0.44,1.6,16.0,37.0,3.22,1
7.1,0.6,0.0,1.8,16.0,34.0,3.47,1
11.1,0.35,0.48,3.1,5.0,21.0,3.17,1
7.7,0.775,0.42,1.9,8.0,86.0,3.23,1
7.1,0.6,0.0,1.8,16.0,34.0,3.47,1
8.0,0.57,0.23,3.2,17.0,119.0,3.26,1
9.4,0.34,0.37,2.2,5.0,13.0,3.22,1
6.6,0.695,0.0,2.1,12.0,56.0,3.49,1
7.7,0.41,0.76,1.8,8.0,45.0,3.06,1
10.0,0.31,0.47,2.6,14.0,33.0,3.36,1
7.9,0.33,0.23,1.7,18.0,45.0,3.29,1
7.0,0.975,0.04,2.0,12.0,67.0,3.35,1
8.0,0.52,0.03,1.7,10.0,35.0,3.34,1
7.9,0.37,0.23,1.8,23.0,49.0,3.28,1
12.5,0.56,0.49,2.4,5.0,27.0,3.08,1
11.8,0.26,0.52,1.8,6.0,10.0,3.2,1
8.1,0.87,0.0,3.3,26.0,61.0,3.6,1
7.9,0.35,0.46,3.6,15.0,37.0,3.35,1
6.9,0.54,0.04,3.0,7.0,27.0,3.69,1
11.5,0.18,0.51,4.0,4.0,23.0,3.28,1
7.9,0.545,0.06,4.0,27.0,61.0,3.36,1
11.5,0.18,0.51,4.0,4.0,23.0,3.28,1
10.9,0.37,0.58,4.0,17.0,65.0,3.22,1
8.4,0.715,0.2,2.4,10.0,38.0,3.31,1
7.5,0.65,0.18,7.0,27.0,94.0,3.38,1
7.9,0.545,0.06,4.0,27.0,61.0,3.36,1
6.9,0.54,0.04,3.0,7.0,27.0,3.69,1
11.5,0.18,0.51,4.0,4.0,23.0,3.28,1
10.3,0.32,0.45,6.4,5.0,13.0,3.23,1
8.9,0.4,0.32,5.6,10.0,47.0,3.38,1
11.4,0.26,0.44,3.6,6.0,19.0,3.12,1
7.7,0.27,0.68,3.5,5.0,10.0,3.25,1
7.6,0.52,0.12,3.0,12.0,53.0,3.36,1
8.9,0.4,0.32,5.6,10.0,47.0,3.38,1
9.9,0.59,0.07,3.4,32.0,71.0,3.31,1
9.9,0.59,0.07,3.4,32.0,71.0,3.31,1
12.0,0.45,0.55,2.0,25.0,49.0,3.1,1
7.5,0.4,0.12,3.0,29.0,53.0,3.37,1
8.7,0.52,0.09,2.5,20.0,49.0,3.34,1
11.6,0.42,0.53,3.3,33.0,98.0,3.2,1
8.7,0.52,0.09,2.5,20.0,49.0,3.34,1
11.0,0.2,0.48,2.0,6.0,18.0,3.3,1
10.4,0.55,0.23,2.7,18.0,48.0,3.22,1
6.9,0.36,0.25,2.4,5.0,16.0,3.41,1
13.3,0.34,0.52,3.2,17.0,53.0,3.05,1
10.8,0.5,0.46,2.5,5.0,27.0,3.05,1
10.6,0.83,0.37,2.6,26.0,70.0,3.16,1
7.1,0.63,0.06,2.0,8.0,29.0,3.67,1
7.2,0.65,0.02,2.3,5.0,31.0,3.67,1
6.9,0.67,0.06,2.1,8.0,33.0,3.68,1
7.5,0.53,0.06,2.6,20.0,44.0,3.38,1
11.1,0.18,0.48,1.5,7.0,15.0,3.22,1
8.3,0.705,0.12,2.6,12.0,28.0,3.51,1
7.4,0.67,0.12,1.6,5.0,21.0,3.39,1
8.4,0.65,0.6,2.1,12.0,90.0,3.2,1
10.3,0.53,0.48,2.5,6.0,25.0,3.12,1
7.6,0.62,0.32,2.2,7.0,54.0,3.36,1
10.3,0.41,0.42,2.4,6.0,14.0,3.19,1
10.3,0.43,0.44,2.4,5.0,12.0,3.19,1
7.4,0.29,0.38,1.7,9.0,30.0,3.41,1
10.3,0.53,0.48,2.5,6.0,25.0,3.12,1
7.9,0.53,0.24,2.0,15.0,105.0,3.27,1
9.0,0.46,0.31,2.8,19.0,98.0,3.32,1
8.6,0.47,0.3,3.0,30.0,135.0,3.3,1
7.4,0.36,0.29,2.6,26.0,72.0,3.39,1
7.1,0.35,0.29,2.5,20.0,53.0,3.42,1
9.6,0.56,0.23,3.4,37.0,92.0,3.3,1
9.6,0.77,0.12,2.9,30.0,74.0,3.3,1
9.8,0.66,0.39,3.2,21.0,59.0,3.37,1
9.6,0.77,0.12,2.9,30.0,74.0,3.3,1
9.8,0.66,0.39,3.2,21.0,59.0,3.37,1
9.3,0.61,0.26,3.4,25.0,87.0,3.24,1
7.8,0.62,0.05,2.3,6.0,18.0,3.29,1
10.3,0.59,0.42,2.8,35.0,73.0,3.28,1
10.0,0.49,0.2,11.0,13.0,50.0,3.16,1
10.0,0.49,0.2,11.0,13.0,50.0,3.16,1
11.6,0.53,0.66,3.65,6.0,14.0,3.05,1
10.3,0.44,0.5,4.5,5.0,13.0,3.28,1
13.4,0.27,0.62,2.6,6.0,21.0,3.16,1
10.7,0.46,0.39,2.0,7.0,15.0,3.18,1
10.2,0.36,0.64,2.9,10.0,41.0,3.23,1
10.2,0.36,0.64,2.9,10.0,41.0,3.23,1
8.0,0.58,0.28,3.2,21.0,114.0,3.22,1
8.4,0.56,0.08,2.1,16.0,44.0,3.13,1
7.9,0.65,0.01,2.5,17.0,38.0,3.34,1
11.9,0.695,0.53,3.4,7.0,21.0,3.17,1
8.9,0.43,0.45,1.9,6.0,16.0,3.35,1
7.8,0.43,0.32,2.8,29.0,58.0,3.31,1
12.4,0.49,0.58,3.0,28.0,99.0,3.16,1
12.5,0.28,0.54,2.3,12.0,29.0,3.11,1
12.2,0.34,0.5,2.4,10.0,21.0,3.12,1
10.6,0.42,0.48,2.7,5.0,18.0,3.21,1
10.9,0.39,0.47,1.8,6.0,14.0,3.3,1
10.9,0.39,0.47,1.8,6.0,14.0,3.3,1
11.9,0.57,0.5,2.6,6.0,32.0,3.12,1
7.0,0.685,0.0,1.9,40.0,63.0,3.6,1
6.6,0.815,0.02,2.7,17.0,34.0,3.58,1
13.8,0.49,0.67,3.0,6.0,15.0,3.02,1
9.6,0.56,0.31,2.8,15.0,46.0,3.11,1
9.1,0.785,0.0,2.6,11.0,28.0,3.36,1
10.7,0.67,0.22,2.7,17.0,34.0,3.28,1
9.1,0.795,0.0,2.6,11.0,26.0,3.35,1
7.7,0.665,0.0,2.4,8.0,19.0,3.27,1
13.5,0.53,0.79,4.8,23.0,77.0,3.18,1
6.1,0.21,0.4,1.4,40.5,165.0,3.25,1
6.7,0.75,0.01,2.4,17.0,32.0,3.55,1
11.5,0.41,0.52,3.0,29.0,55.0,3.26,1
10.5,0.42,0.66,2.95,12.0,29.0,3.24,1
11.9,0.43,0.66,3.1,10.0,23.0,3.15,1
12.6,0.38,0.66,2.6,10.0,41.0,3.17,1
8.2,0.7,0.23,2.0,14.0,81.0,3.19,1
8.6,0.45,0.31,2.6,21.0,50.0,3.37,1
11.9,0.58,0.66,2.5,6.0,37.0,3.05,1
12.5,0.46,0.63,2.0,6.0,15.0,2.99,1
12.8,0.615,0.66,5.8,7.0,42.0,3.07,1
10.0,0.42,0.5,3.4,7.0,21.0,3.26,1
12.8,0.615,0.66,5.8,7.0,42.0,3.07,1
10.4,0.575,0.61,2.6,11.0,24.0,3.16,1
10.3,0.34,0.52,2.8,15.0,75.0,3.18,1
9.4,0.27,0.53,2.4,6.0,18.0,3.2,1
6.9,0.765,0.02,2.3,35.0,63.0,3.57,1
7.9,0.24,0.4,1.6,11.0,25.0,3.32,1
9.1,0.28,0.48,1.8,26.0,46.0,3.32,1
7.4,0.55,0.22,2.2,12.0,72.0,3.05,1
14.0,0.41,0.63,3.8,6.0,47.0,3.01,1
11.5,0.54,0.71,4.4,6.0,15.0,3.01,1
11.5,0.45,0.5,3.0,19.0,47.0,3.26,1
9.4,0.27,0.53,2.4,6.0,18.0,3.2,1
11.4,0.625,0.66,6.2,6.0,24.0,3.11,1
8.3,0.42,0.38,2.5,24.0,60.0,3.31,1
8.3,0.26,0.42,2.0,11.0,27.0,3.21,1
13.7,0.415,0.68,2.9,17.0,43.0,3.06,1
8.3,0.26,0.42,2.0,11.0,27.0,3.21,1
8.3,0.26,0.42,2.0,11.0,27.0,3.21,1
7.7,0.51,0.28,2.1,23.0,54.0,3.42,1
7.4,0.63,0.07,2.4,11.0,37.0,3.43,1
7.8,0.54,0.26,2.0,23.0,48.0,3.41,1
8.3,0.66,0.15,1.9,17.0,42.0,3.31,1
7.8,0.46,0.26,1.9,23.0,53.0,3.43,1
9.6,0.38,0.31,2.5,16.0,49.0,3.19,1
5.6,0.85,0.05,1.4,12.0,88.0,3.56,1
13.7,0.415,0.68,2.9,17.0,43.0,3.06,1
9.5,0.37,0.52,2.0,6.0,26.0,3.18,1
8.4,0.665,0.61,2.0,13.0,95.0,3.16,1
12.7,0.6,0.65,2.3,6.0,25.0,3.03,1
12.0,0.37,0.76,4.2,7.0,38.0,3.22,1
6.6,0.735,0.02,7.9,68.0,124.0,3.47,1
11.5,0.59,0.59,2.6,13.0,49.0,3.18,1
11.5,0.59,0.59,2.6,13.0,49.0,3.18,1
8.7,0.765,0.22,2.3,9.0,42.0,3.1,1
6.6,0.735,0.02,7.9,68.0,124.0,3.47,1
7.7,0.26,0.3,1.7,20.0,38.0,3.29,1
12.2,0.48,0.54,2.6,19.0,64.0,3.1,1
11.4,0.6,0.49,2.7,10.0,41.0,3.15,1
7.7,0.69,0.05,2.7,15.0,27.0,3.26,1
8.7,0.31,0.46,1.4,11.0,25.0,3.36,1
9.8,0.44,0.47,2.5,9.0,28.0,3.24,1
12.0,0.39,0.66,3.0,12.0,30.0,3.18,1
10.4,0.34,0.58,3.7,6.0,16.0,3.19,1
12.5,0.46,0.49,4.5,26.0,49.0,3.05,1
9.0,0.43,0.34,2.5,26.0,86.0,3.38,1
9.1,0.45,0.35,2.4,23.0,78.0,3.38,1
7.1,0.735,0.16,1.9,15.0,77.0,3.27,1
9.9,0.4,0.53,6.7,6.0,19.0,3.27,1
8.8,0.52,0.34,2.7,24.0,122.0,3.26,1
8.6,0.725,0.24,6.6,31.0,134.0,3.32,1
10.6,0.48,0.64,2.2,6.0,20.0,3.26,1
7.0,0.58,0.12,1.9,34.0,124.0,3.44,1
11.9,0.38,0.51,2.0,7.0,20.0,3.24,1
6.8,0.77,0.0,1.8,34.0,52.0,3.62,1
9.5,0.56,0.33,2.4,35.0,67.0,3.28,1
6.6,0.84,0.03,2.3,32.0,48.0,3.52,1
7.7,0.96,0.2,2.0,15.0,60.0,3.36,1
10.5,0.24,0.47,2.1,6.0,24.0,3.15,1
7.7,0.96,0.2,2.0,15.0,60.0,3.36,1
6.6,0.84,0.03,2.3,32.0,48.0,3.52,1
6.4,0.67,0.08,2.1,19.0,48.0,3.49,1
9.5,0.78,0.22,1.9,6.0,32.0,3.26,1
9.1,0.52,0.33,1.3,9.0,30.0,3.24,1
12.8,0.84,0.63,2.4,13.0,35.0,3.1,1
10.5,0.24,0.47,2.1,6.0,24.0,3.15,1
7.8,0.55,0.35,2.2,21.0,66.0,3.25,1
11.9,0.37,0.69,2.3,12.0,24.0,3.0,1
12.3,0.39,0.63,2.3,6.0,18.0,3.16,1
10.4,0.41,0.55,3.2,22.0,54.0,3.15,1
12.3,0.39,0.63,2.3,6.0,18.0,3.16,1
8.0,0.67,0.3,2.0,38.0,62.0,3.26,1
11.1,0.45,0.73,3.2,6.0,22.0,3.17,1
10.4,0.41,0.55,3.2,22.0,54.0,3.15,1
7.0,0.62,0.18,1.5,7.0,50.0,3.08,1
12.6,0.31,0.72,2.2,6.0,29.0,2.88,1
11.9,0.4,0.65,2.15,7.0,27.0,3.06,1
15.6,0.685,0.76,3.7,6.0,43.0,2.95,1
10.0,0.44,0.49,2.7,11.0,19.0,3.23,1
5.3,0.57,0.01,1.7,5.0,27.0,3.57,1
9.5,0.735,0.1,2.1,6.0,31.0,3.23,1
12.5,0.38,0.6,2.6,31.0,72.0,3.1,1
9.3,0.48,0.29,2.1,6.0,16.0,3.22,1
8.6,0.53,0.22,2.0,7.0,27.0,3.2,1
11.9,0.39,0.69,2.8,17.0,35.0,3.1,1
11.9,0.39,0.69,2.8,17.0,35.0,3.1,1
8.4,0.37,0.53,1.8,9.0,26.0,3.06,1
6.8,0.56,0.03,1.7,18.0,35.0,3.44,1
10.4,0.33,0.63,2.8,5.0,22.0,3.26,1
7.0,0.23,0.4,1.6,21.0,67.0,3.5,1
11.3,0.62,0.67,5.2,6.0,19.0,3.22,1
8.9,0.59,0.39,2.3,5.0,22.0,3.37,1
9.2,0.63,0.21,2.7,29.0,65.0,3.28,1
10.4,0.33,0.63,2.8,5.0,22.0,3.26,1
11.6,0.58,0.66,2.2,10.0,47.0,3.25,1
9.2,0.43,0.52,2.3,14.0,23.0,3.35,1
8.3,0.615,0.22,2.6,6.0,19.0,3.26,1
